PID,Trial,Condition,Measure,Response
59,7,Alien Hand,Agency,3.0
59,8,Mismatched Hand,Agency,3.0
59,9,Matched Hand,Agency,3.0
60,1,Matched Hand,Agency,3.0
60,2,Mismatched Hand,Agency,1.0
60,3,Alien Hand,Agency,2.0
60,4,Matched Hand,Agency,3.0
60,5,Mismatched Hand,Agency,1.0
60,6,Alien Hand,Agency,2.0
60,7,Matched Hand,Agency,3.0
60,8,Mismatched Hand,Agency,3.0
60,9,Alien Hand,Agency,2.0
61,1,Matched Hand,Agency,3.0
61,2,Mismatched Hand,Agency,2.0
61,3,Alien Hand,Agency,2.0
61,4,Matched Hand,Agency,2.0
61,5,Mismatched Hand,Agency,2.0
61,6,Alien Hand,Agency,1.0
61,7,Matched Hand,Agency,3.0
61,8,Mismatched Hand,Agency,2.0
61,9,Alien Hand,Agency,1.0
62,1,Mismatched Hand,Agency,1.0
62,2,Matched Hand,Agency,1.0
62,3,Alien Hand,Agency,1.0
62,4,Mismatched Hand,Agency,-3.0
62,5,Matched Hand,Agency,3.0
62,6,Alien Hand,Agency,1.0
62,7,Mismatched Hand,Agency,2.0
62,8,Matched Hand,Agency,-1.0
62,9,Alien Hand,Agency,-1.0
63,1,Matched Hand,Agency,3.0
63,2,Mismatched Hand,Agency,3.0
63,3,Alien Hand,Agency,3.0
63,4,Matched Hand,Agency,3.0
63,5,Mismatched Hand,Agency,3.0
63,6,Alien Hand,Agency,3.0
63,7,Matched Hand,Agency,3.0
63,8,Mismatched Hand,Agency,3.0
63,9,Alien Hand,Agency,3.0
64,1,Mismatched Hand,Agency,3.0
64,2,Matched Hand,Agency,3.0
64,3,Alien Hand,Agency,3.0
64,4,Mismatched Hand,Agency,3.0
64,5,Matched Hand,Agency,3.0
64,6,Alien Hand,Agency,3.0
64,7,Mismatched Hand,Agency,3.0
64,8,Matched Hand,Agency,3.0
64,9,Alien Hand,Agency,3.0
65,1,Mismatched Hand,Agency,2.0
65,2,Matched Hand,Agency,2.0
65,3,Alien Hand,Agency,2.0
65,4,Mismatched Hand,Agency,2.0
65,5,Matched Hand,Agency,3.0
65,6,Alien Hand,Agency,2.0
65,7,Mismatched Hand,Agency,2.0
65,8,Matched Hand,Agency,3.0
65,9,Alien Hand,Agency,2.0
66,1,Mismatched Hand,Agency,2.0
66,2,Matched Hand,Agency,3.0
66,3,Alien Hand,Agency,3.0
66,4,Mismatched Hand,Agency,3.0
66,5,Matched Hand,Agency,3.0
66,6,Alien Hand,Agency,3.0
